bike_name,price,city,kms_driven,owner,age,power,brand
Suzuki FZ S,113699,Mumbai,12205,First Owner,4,125,Suzuki
Hero Pulsar 150cc,78723,Mumbai,96646,First Owner,4,100,Hero
TVS Apache RTR 160,135029,Mumbai,36788,First Owner,18,160,TVS
Bajaj Splendor Plus,147128,Pune,10520,Second Owner,8,160,Bajaj
Hero Splendor Plus,165017,Jaipur,76638,Fourth Owner,16,200,Hero
Yamaha Other Model,623522,Bangalore,91730,Second Owner,11,650,Yamaha
Suzuki Pulsar 150cc,64071,Hyderabad,91495,Second Owner,14,100,Suzuki
Royal Enfield Duke 200,167447,Mumbai,27745,First Owner,12,180,Royal Enfield
Suzuki Duke 200,486212,Chennai,50982,Third Owner,5,500,Suzuki
Bajaj Duke 200,90090,Chennai,20202,First Owner,9,100,Bajaj
Other Apache RTR 160,158269,Chennai,22963,Third Owner,1,160,Other
KTM Splendor Plus,106916,Ahmedabad,3645,Second Owner,15,125,KTM
Suzuki Pulsar 150cc,133490,Chennai,62437,Third Owner,2,150,Suzuki
Royal Enfield Other Model,324885,Jaipur,84144,Second Owner,4,350,Royal Enfield
Bajaj Duke 200,105458,Ahmedabad,76442,Second Owner,5,125,Bajaj
Bajaj Pulsar 150cc,128164,Pune,44282,Third Owner,19,160,Bajaj
KTM Duke 200,338126,Hyderabad,16236,First Owner,12,350,KTM
Yamaha FZ S,145085,Lucknow,10993,Third Owner,9,160,Yamaha
Yamaha Apache RTR 160,73590,Pune,57773,Second Owner,19,100,Yamaha
Other Duke 200,472200,Chennai,89301,Third Owner,5,500,Other
Honda Classic 350,345554,Mumbai,31815,First Owner,1,350,Honda
Hero FZ S,109065,Delhi,68875,First Owner,2,125,Hero
Honda Other Model,141697,Chennai,12493,Third Owner,4,150,Honda
Yamaha Pulsar 150cc,327128,Bangalore,38430,Fourth Owner,14,350,Yamaha
Other Apache RTR 160,94767,Kolkata,48481,Second Owner,8,110,Other
TVS Classic 350,631088,Hyderabad,45095,Second Owner,13,650,TVS
Other Apache RTR 160,484552,Pune,34903,Third Owner,8,500,Other
Honda Other Model,320274,Kolkata,85011,Third Owner,13,350,Honda
KTM Shine 125cc,81411,Mumbai,70345,Fourth Owner,6,100,KTM
KTM Duke 200,145694,Ahmedabad,68506,Third Owner,2,160,KTM
Hero Apache RTR 160,318890,Chennai,84230,First Owner,13,350,Hero
Bajaj Apache RTR 160,144191,Pune,76701,Fourth Owner,1,160,Bajaj
Bajaj Other Model,94679,Chennai,74369,Third Owner,1,110,Bajaj
Yamaha Splendor Plus,320851,Bangalore,85455,Fourth Owner,14,350,Yamaha
KTM Duke 200,331568,Bangalore,48341,Fourth Owner,5,350,KTM
Bajaj Apache RTR 160,95686,Chennai,76262,Second Owner,2,110,Bajaj
KTM Other Model,58329,Pune,90223,Second Owner,19,100,KTM
Bajaj Pulsar 150cc,138157,Hyderabad,29972,First Owner,12,160,Bajaj
Bajaj Classic 350,182998,Chennai,22546,First Owner,10,200,Bajaj
Hero Access 125,91497,Hyderabad,5964,Third Owner,10,100,Hero
Honda FZ S,163952,Chennai,36300,Fourth Owner,10,180,Honda
Yamaha Duke 200,110309,Bangalore,50805,Third Owner,5,125,Yamaha
Yamaha Duke 200,88950,Mumbai,46939,First Owner,10,110,Yamaha
Honda Other Model,74676,Ahmedabad,44153,Third Owner,15,100,Honda
Hero Apache RTR 160,621047,Mumbai,70665,Third Owner,11,650,Hero
Hero Pulsar 150cc,187687,Pune,76549,First Owner,16,220,Hero
Other Splendor Plus,472324,Chennai,53124,Second Owner,16,500,Other
Royal Enfield Classic 350,161029,Pune,86072,Second Owner,19,200,Royal Enfield
Other Pulsar 150cc,130446,Ahmedabad,69837,Second Owner,19,160,Other
Other Splendor Plus,79805,Pune,92477,First Owner,5,100,Other
Suzuki Shine 125cc,335932,Jaipur,26563,Third Owner,8,350,Suzuki
Yamaha FZ S,106211,Jaipur,14871,Fourth Owner,12,125,Yamaha
Honda Access 125,202903,Jaipur,48629,First Owner,9,220,Honda
Royal Enfield Shine 125cc,107203,Lucknow,1954,Fourth Owner,15,125,Royal Enfield
Other Other Model,136113,Lucknow,19786,First Owner,12,150,Other
Other Access 125,202118,Mumbai,1360,Second Owner,2,200,Other
Bajaj Other Model,121688,Bangalore,90340,First Owner,17,160,Bajaj
Honda Access 125,623966,Kolkata,72418,Third Owner,13,650,Honda
Hero Duke 200,157131,Mumbai,31000,Fourth Owner,16,180,Hero
KTM Apache RTR 160,158964,Hyderabad,12513,Fourth Owner,2,160,KTM
Suzuki Shine 125cc,145214,Pune,49082,Fourth Owner,9,160,Suzuki
Royal Enfield Other Model,133485,Lucknow,52115,Second Owner,6,150,Royal Enfield
KTM FZ S,636952,Bangalore,19350,First Owner,9,650,KTM
Other Pulsar 150cc,174746,Hyderabad,93050,Fourth Owner,6,200,Other
Other Access 125,125282,Mumbai,58443,Fourth Owner,13,150,Other
Honda Classic 350,332245,Mumbai,63223,Second Owner,3,350,Honda
Hero Splendor Plus,315178,Jaipur,97225,Second Owner,11,350,Hero
Yamaha Apache RTR 160,648666,Jaipur,21625,First Owner,2,650,Yamaha
Yamaha Access 125,469978,Lucknow,47833,First Owner,19,500,Yamaha
Other Pulsar 150cc,70219,Kolkata,86022,Second Owner,18,110,Other
Bajaj Classic 350,156846,Pune,68504,Third Owner,14,180,Bajaj
Other FZ S,147025,Bangalore,12285,First Owner,9,160,Other
Hero Shine 125cc,125487,Chennai,81796,Second Owner,11,150,Hero
Suzuki Shine 125cc,86042,Jaipur,32736,Fourth Owner,17,110,Suzuki
Bajaj Pulsar 150cc,151288,Lucknow,78683,First Owner,15,180,Bajaj
Yamaha FZ S,63386,Ahmedabad,85778,Second Owner,15,100,Yamaha
Yamaha Access 125,144954,Pune,98341,Third Owner,14,180,Yamaha
Hero Splendor Plus,169452,Delhi,21274,First Owner,6,180,Hero
Hero FZ S,214034,Chennai,15157,Third Owner,2,220,Hero
KTM Shine 125cc,480872,Delhi,44297,First Owner,10,500,KTM
Hero Pulsar 150cc,117009,Kolkata,26889,Third Owner,5,125,Hero
Royal Enfield Pulsar 150cc,499581,Ahmedabad,15264,Second Owner,2,500,Royal Enfield
TVS Duke 200,153978,Mumbai,26181,Fourth Owner,4,160,TVS
KTM Shine 125cc,152129,Jaipur,74768,Third Owner,9,180,KTM
Honda Pulsar 150cc,209085,Jaipur,17727,Fourth Owner,7,220,Honda
Hero Classic 350,167999,Lucknow,34501,Third Owner,1,180,Hero
Royal Enfield Splendor Plus,332835,Bangalore,32917,First Owner,14,350,Royal Enfield
Royal Enfield Splendor Plus,103257,Chennai,69851,Fourth Owner,12,125,Royal Enfield
KTM Classic 350,110490,Chennai,76598,Fourth Owner,3,125,KTM
TVS Other Model,77069,Hyderabad,85170,Fourth Owner,18,110,TVS
Other Duke 200,198744,Bangalore,44040,Second Owner,14,220,Other
KTM Access 125,71832,Delhi,81692,Fourth Owner,7,100,KTM
Yamaha Duke 200,178413,Kolkata,25830,Third Owner,15,200,Yamaha
Bajaj Duke 200,106005,Jaipur,88393,First Owner,2,125,Bajaj
Honda Access 125,336890,Ahmedabad,5667,First Owner,14,350,Honda
Other Other Model,630110,Chennai,14899,Third Owner,19,650,Other
Other Classic 350,171958,Chennai,91205,Fourth Owner,6,200,Other
Honda Access 125,145441,Mumbai,19899,Second Owner,14,160,Honda
Royal Enfield Other Model,90736,Bangalore,6147,Second Owner,10,100,Royal Enfield
Bajaj Duke 200,76052,Bangalore,55975,Fourth Owner,14,100,Bajaj
Hero Classic 350,71362,Kolkata,71130,Second Owner,13,100,Hero
Yamaha Splendor Plus,81232,Mumbai,37672,First Owner,8,100,Yamaha
Bajaj Shine 125cc,326917,Delhi,96304,Fourth Owner,8,350,Bajaj
KTM Shine 125cc,144585,Ahmedabad,79280,Second Owner,15,180,KTM
KTM FZ S,70287,Kolkata,50015,Fourth Owner,17,100,KTM
TVS Apache RTR 160,136958,Kolkata,39242,Third Owner,19,160,TVS
Royal Enfield Shine 125cc,465134,Delhi,93992,Fourth Owner,15,500,Royal Enfield
Suzuki Other Model,184733,Pune,6595,Third Owner,10,200,Suzuki
Bajaj Classic 350,157059,Mumbai,46075,Third Owner,14,180,Bajaj
Honda Duke 200,627174,Chennai,62637,Second Owner,13,650,Honda
Yamaha Classic 350,74452,Delhi,84878,First Owner,5,100,Yamaha
Hero Duke 200,83593,Kolkata,36338,Fourth Owner,14,100,Hero
Hero Duke 200,142468,Jaipur,27822,Third Owner,5,150,Hero
Suzuki Pulsar 150cc,110424,Delhi,36616,Third Owner,6,125,Suzuki
Bajaj Pulsar 150cc,130203,Kolkata,92012,Second Owner,11,160,Bajaj
Honda Pulsar 150cc,176174,Chennai,44257,Second Owner,12,200,Honda
Honda Splendor Plus,337234,Ahmedabad,13857,Second Owner,14,350,Honda
KTM Access 125,172298,Mumbai,72627,Second Owner,12,200,KTM
Hero Apache RTR 160,130778,Delhi,96303,First Owner,7,160,Hero
Other Classic 350,158371,Chennai,81658,Third Owner,1,180,Other
Other Other Model,103299,Kolkata,69495,Fourth Owner,5,125,Other
Hero FZ S,138994,Hyderabad,85029,Fourth Owner,19,180,Hero
Other Other Model,210812,Kolkata,9886,Second Owner,10,220,Other
KTM Apache RTR 160,96898,Pune,95729,Second Owner,7,125,KTM
TVS Classic 350,132042,Hyderabad,97223,First Owner,8,160,TVS
Other Other Model,87401,Ahmedabad,48085,Second Owner,4,100,Other
Hero Duke 200,487317,Lucknow,29625,Fourth Owner,4,500,Hero
Hero Other Model,171035,Chennai,45711,Third Owner,2,180,Hero
KTM Other Model,135424,Hyderabad,75977,Second Owner,1,150,KTM
Honda Access 125,473884,Bangalore,68617,Fourth Owner,8,500,Honda
Bajaj FZ S,152277,Kolkata,74874,Third Owner,16,180,Bajaj
Hero Pulsar 150cc,184839,Hyderabad,5437,Second Owner,17,200,Hero
Yamaha Duke 200,636377,Mumbai,4121,First Owner,12,650,Yamaha
Honda Splendor Plus,95552,Kolkata,78462,First Owner,17,125,Honda
Other Shine 125cc,481166,Jaipur,5427,Second Owner,18,500,Other
Royal Enfield Shine 125cc,127854,Ahmedabad,74061,Second Owner,12,150,Royal Enfield
TVS Other Model,93589,Hyderabad,49942,First Owner,9,110,TVS
Other Classic 350,123722,Jaipur,83284,Fourth Owner,9,150,Other
Bajaj Shine 125cc,151194,Bangalore,20495,Second Owner,5,160,Bajaj
Royal Enfield Splendor Plus,183117,Ahmedabad,2338,Fourth Owner,12,200,Royal Enfield
Other Access 125,88515,Jaipur,70447,Second Owner,2,100,Other
Suzuki Apache RTR 160,84104,Ahmedabad,18631,Third Owner,19,110,Suzuki
Yamaha Shine 125cc,135286,Jaipur,51810,Second Owner,5,150,Yamaha
Yamaha Duke 200,167131,Lucknow,15562,Second Owner,13,180,Yamaha
Other Access 125,619935,Pune,91052,Third Owner,11,650,Other
Hero Duke 200,139798,Kolkata,96859,Third Owner,16,180,Hero
Bajaj Pulsar 150cc,189449,Bangalore,52582,Second Owner,2,200,Bajaj
Bajaj Splendor Plus,103643,Delhi,10248,First Owner,8,110,Bajaj
Honda Duke 200,74904,Hyderabad,93335,Second Owner,15,110,Honda
Other Other Model,328165,Pune,9609,Fourth Owner,16,350,Other
TVS Apache RTR 160,154378,Chennai,79492,Fourth Owner,8,180,TVS
Other FZ S,105971,Lucknow,65101,Second Owner,10,125,Other
KTM Duke 200,73098,Lucknow,97130,First Owner,17,110,KTM
Other Access 125,130995,Jaipur,76801,Fourth Owner,13,160,Other
Yamaha Duke 200,318469,Delhi,71361,Fourth Owner,18,350,Yamaha
Bajaj Duke 200,184763,Pune,70793,Fourth Owner,6,200,Bajaj
TVS Classic 350,117889,Bangalore,80419,Second Owner,18,150,TVS
KTM Access 125,134254,Kolkata,40017,Second Owner,5,150,KTM
KTM Splendor Plus,137088,Delhi,94125,Third Owner,4,160,KTM
Honda FZ S,159733,Chennai,10091,Fourth Owner,2,160,Honda
Honda Duke 200,633631,Pune,53804,First Owner,10,650,Honda
Suzuki Splendor Plus,140386,Kolkata,40222,Second Owner,1,150,Suzuki
Bajaj Shine 125cc,201160,Ahmedabad,12952,Second Owner,16,220,Bajaj
Suzuki Access 125,188392,Mumbai,75234,First Owner,12,220,Suzuki
Suzuki Splendor Plus,100371,Bangalore,8777,Fourth Owner,5,110,Suzuki
TVS FZ S,484378,Bangalore,54727,Third Owner,9,500,TVS
Bajaj Shine 125cc,199395,Pune,49372,Third Owner,9,220,Bajaj
TVS Shine 125cc,466997,Kolkata,93079,Fourth Owner,14,500,TVS
Bajaj Duke 200,195309,Delhi,63164,Third Owner,16,220,Bajaj
KTM Access 125,158005,Jaipur,43892,Third Owner,17,180,KTM
Bajaj Other Model,335207,Bangalore,64698,First Owner,1,350,Bajaj
Honda Other Model,132277,Jaipur,36340,First Owner,7,150,Honda
Honda Duke 200,624382,Chennai,88045,Third Owner,7,650,Honda
TVS Shine 125cc,115745,Delhi,32763,Third Owner,6,125,TVS
Royal Enfield Shine 125cc,479993,Jaipur,32361,First Owner,11,500,Royal Enfield
Royal Enfield Shine 125cc,106100,Kolkata,19701,First Owner,3,110,Royal Enfield
KTM FZ S,191088,Hyderabad,39451,First Owner,5,200,KTM
Royal Enfield Splendor Plus,100636,Mumbai,47400,Second Owner,18,125,Royal Enfield
Yamaha Duke 200,132118,Jaipur,65789,First Owner,5,150,Yamaha
KTM Splendor Plus,202534,Kolkata,96089,Second Owner,1,220,KTM
KTM Shine 125cc,193945,Jaipur,17299,Fourth Owner,3,200,KTM
Hero Pulsar 150cc,97338,Ahmedabad,79039,Fourth Owner,12,125,Hero
Suzuki Classic 350,142467,Bangalore,26719,First Owner,3,150,Suzuki
Bajaj Apache RTR 160,197413,Chennai,58369,Second Owner,12,220,Bajaj
KTM Shine 125cc,623171,Ahmedabad,35219,Second Owner,16,650,KTM
Royal Enfield Splendor Plus,129836,Chennai,31609,First Owner,14,150,Royal Enfield
Hero Pulsar 150cc,642264,Lucknow,32070,First Owner,3,650,Hero
Honda Splendor Plus,78235,Kolkata,69473,Fourth Owner,13,110,Honda
KTM Apache RTR 160,463681,Hyderabad,95028,Fourth Owner,18,500,KTM
KTM Pulsar 150cc,127271,Pune,90643,First Owner,12,160,KTM
TVS Pulsar 150cc,179329,Ahmedabad,76156,Third Owner,7,200,TVS
Bajaj Splendor Plus,90571,Ahmedabad,85374,Third Owner,3,110,Bajaj
TVS Other Model,339656,Lucknow,2873,Fourth Owner,5,350,TVS
Hero Apache RTR 160,85113,Mumbai,5400,Third Owner,15,100,Hero
Hero Pulsar 150cc,98878,Mumbai,88885,Third Owner,5,125,Hero
Suzuki Pulsar 150cc,187080,Jaipur,20168,First Owner,7,200,Suzuki
Hero Apache RTR 160,74092,Hyderabad,87029,First Owner,13,100,Hero
Bajaj Splendor Plus,88610,Kolkata,20809,Fourth Owner,5,100,Bajaj
TVS FZ S,147981,Kolkata,19679,Fourth Owner,1,150,TVS
Honda Classic 350,203613,Mumbai,47409,First Owner,5,220,Honda
Suzuki FZ S,86299,Ahmedabad,89291,Second Owner,16,125,Suzuki
TVS Pulsar 150cc,163412,Hyderabad,12952,First Owner,15,180,TVS
Royal Enfield Splendor Plus,632746,Bangalore,55331,Fourth Owner,11,650,Royal Enfield
Hero Apache RTR 160,123261,Hyderabad,57308,Second Owner,17,150,Hero
Other Other Model,166290,Hyderabad,68163,First Owner,3,180,Other
KTM Splendor Plus,484184,Bangalore,86501,First Owner,3,500,KTM
Yamaha Classic 350,99539,Mumbai,62915,Fourth Owner,13,125,Yamaha
Yamaha Classic 350,88166,Mumbai,43739,First Owner,5,100,Yamaha
Royal Enfield Duke 200,190224,Ahmedabad,45918,Second Owner,1,200,Royal Enfield
TVS Access 125,186363,Jaipur,34191,Fourth Owner,5,200,TVS
Hero Pulsar 150cc,136885,Jaipur,20721,Second Owner,13,150,Hero
Royal Enfield Classic 350,184047,Ahmedabad,10732,Second Owner,18,200,Royal Enfield
TVS Splendor Plus,132249,Lucknow,60734,Third Owner,19,160,TVS
Hero Classic 350,323036,Ahmedabad,77164,Fourth Owner,9,350,Hero
Hero Other Model,195855,Mumbai,73495,Second Owner,8,220,Hero
Bajaj Access 125,89175,Jaipur,97470,Third Owner,5,110,Bajaj
KTM FZ S,97752,Delhi,45778,Second Owner,5,110,KTM
Yamaha Classic 350,83250,Mumbai,21911,First Owner,15,100,Yamaha
KTM Other Model,164891,Delhi,79095,Fourth Owner,4,180,KTM
KTM Pulsar 150cc,74079,Lucknow,80103,Third Owner,15,110,KTM
Honda Pulsar 150cc,143193,Mumbai,13770,Second Owner,11,160,Honda
Royal Enfield Splendor Plus,194838,Pune,5881,Second Owner,7,200,Royal Enfield
Yamaha Duke 200,141029,Bangalore,37738,Third Owner,16,160,Yamaha
Suzuki FZ S,194327,Pune,35042,Fourth Owner,14,220,Suzuki
TVS Other Model,136944,Hyderabad,49053,Second Owner,4,150,TVS
Royal Enfield Classic 350,631275,Hyderabad,28178,First Owner,18,650,Royal Enfield
Royal Enfield Apache RTR 160,87689,Hyderabad,17679,First Owner,18,110,Royal Enfield
Honda Pulsar 150cc,195314,Ahmedabad,50542,Second Owner,18,220,Honda
Bajaj Splendor Plus,91475,Pune,16875,Second Owner,17,110,Bajaj
Honda Pulsar 150cc,144069,Bangalore,91833,Fourth Owner,17,180,Honda
KTM Pulsar 150cc,348884,Mumbai,11624,Fourth Owner,1,350,KTM
TVS Apache RTR 160,130022,Mumbai,80023,Second Owner,6,150,TVS
KTM Apache RTR 160,183759,Pune,92810,Third Owner,15,220,KTM
TVS Splendor Plus,106668,Pune,58267,Fourth Owner,6,125,TVS
TVS Other Model,138955,Kolkata,32892,First Owner,12,160,TVS
Bajaj FZ S,93686,Chennai,83781,Second Owner,17,125,Bajaj
Suzuki Duke 200,157805,Lucknow,35774,Third Owner,14,180,Suzuki
KTM Shine 125cc,106244,Jaipur,32092,Second Owner,16,125,KTM
Honda Classic 350,638871,Chennai,52833,First Owner,2,650,Honda
Other Classic 350,81596,Pune,51994,Fourth Owner,19,110,Other
Yamaha Pulsar 150cc,86650,Delhi,36808,First Owner,9,100,Yamaha
Yamaha Classic 350,327667,Hyderabad,67226,Second Owner,5,350,Yamaha
Hero Apache RTR 160,140259,Kolkata,36068,First Owner,5,150,Hero
Suzuki Apache RTR 160,138483,Pune,9440,Fourth Owner,13,150,Suzuki
TVS Access 125,106521,Lucknow,83743,Second Owner,5,125,TVS
Yamaha FZ S,480036,Bangalore,73328,First Owner,7,500,Yamaha
Hero Splendor Plus,142562,Hyderabad,24571,Third Owner,8,160,Hero
Royal Enfield Other Model,128408,Kolkata,78772,Fourth Owner,6,150,Royal Enfield
TVS Other Model,337007,Delhi,21311,First Owner,10,350,TVS
TVS Shine 125cc,127389,Lucknow,79487,Fourth Owner,4,150,TVS
TVS FZ S,83861,Mumbai,89991,Third Owner,12,110,TVS
Bajaj Shine 125cc,476449,Mumbai,90551,Second Owner,9,500,Bajaj
Yamaha Access 125,635673,Jaipur,30906,Second Owner,9,650,Yamaha
Honda Splendor Plus,91075,Bangalore,83231,Second Owner,3,110,Honda
Royal Enfield Apache RTR 160,85935,Pune,65513,Second Owner,2,100,Royal Enfield
Bajaj Shine 125cc,153081,Kolkata,83619,Fourth Owner,10,180,Bajaj
Other Duke 200,105520,Lucknow,62736,Fourth Owner,11,125,Other
Honda Other Model,208840,Mumbai,40226,Fourth Owner,2,220,Honda
Yamaha Duke 200,616746,Ahmedabad,72551,Second Owner,18,650,Yamaha
TVS Apache RTR 160,334515,Ahmedabad,9625,Fourth Owner,10,350,TVS
Other Shine 125cc,320211,Jaipur,91356,Second Owner,12,350,Other
Other Other Model,83750,Lucknow,62068,Second Owner,3,100,Other
TVS Classic 350,118414,Mumbai,84955,Fourth Owner,11,150,TVS
Hero Shine 125cc,325832,Mumbai,58642,Second Owner,11,350,Hero
Suzuki FZ S,125194,Jaipur,56734,First Owner,13,150,Suzuki
Hero Splendor Plus,620905,Kolkata,60926,First Owner,15,650,Hero
Other Apache RTR 160,144029,Mumbai,82756,Third Owner,1,160,Other
Hero Splendor Plus,479687,Pune,53798,Fourth Owner,7,500,Hero
Bajaj Other Model,125424,Ahmedabad,7817,Third Owner,1,125,Bajaj
Suzuki Shine 125cc,485441,Hyderabad,50820,First Owner,8,500,Suzuki
Royal Enfield FZ S,487400,Mumbai,43877,Fourth Owner,4,500,Royal Enfield
Honda Other Model,130196,Pune,78164,Fourth Owner,8,150,Honda
Yamaha Shine 125cc,184131,Lucknow,86112,Fourth Owner,15,220,Yamaha
Honda Splendor Plus,91064,Pune,32668,Third Owner,8,110,Honda
Bajaj Pulsar 150cc,192364,Jaipur,5779,Third Owner,2,200,Bajaj
KTM Other Model,74483,Hyderabad,24453,First Owner,19,100,KTM
Yamaha Other Model,200967,Lucknow,14781,Third Owner,16,220,Yamaha
Royal Enfield Classic 350,313427,Mumbai,96205,Third Owner,17,350,Royal Enfield
TVS Apache RTR 160,187208,Hyderabad,93747,Second Owner,16,220,TVS
TVS Shine 125cc,137902,Bangalore,2961,First Owner,13,150,TVS
Honda Pulsar 150cc,331877,Ahmedabad,48566,Second Owner,9,350,Honda
Suzuki Classic 350,159666,Chennai,32489,Second Owner,13,180,Suzuki
Suzuki Splendor Plus,162042,Chennai,39688,First Owner,11,180,Suzuki
Hero Other Model,134730,Jaipur,46313,Second Owner,14,160,Hero
Bajaj Duke 200,125798,Bangalore,74238,Third Owner,10,150,Bajaj
KTM Shine 125cc,194694,Hyderabad,64561,First Owner,12,220,KTM
Suzuki Shine 125cc,135909,Hyderabad,40377,Fourth Owner,10,150,Suzuki
Other Duke 200,332572,Bangalore,29640,Second Owner,16,350,Other
Royal Enfield Other Model,198762,Pune,69647,Second Owner,6,220,Royal Enfield
Other Access 125,117403,Kolkata,17297,Fourth Owner,3,125,Other
Hero Classic 350,187479,Pune,11946,Second Owner,14,200,Hero
Royal Enfield Pulsar 150cc,150697,Delhi,16173,Second Owner,9,160,Royal Enfield
KTM FZ S,70724,Ahmedabad,50329,Fourth Owner,19,100,KTM
Hero Apache RTR 160,151558,Hyderabad,1437,Third Owner,8,160,Hero
Hero Splendor Plus,634277,Bangalore,25740,Fourth Owner,10,650,Hero
Bajaj Shine 125cc,77313,Jaipur,77331,Second Owner,7,100,Bajaj
Other Apache RTR 160,105049,Ahmedabad,63314,Second Owner,7,125,Other
KTM Apache RTR 160,67926,Ahmedabad,75977,Fourth Owner,15,100,KTM
Suzuki Apache RTR 160,167727,Kolkata,71873,Second Owner,1,180,Suzuki
TVS Access 125,622083,Jaipur,86832,First Owner,15,650,TVS
Honda Access 125,341163,Delhi,19967,Fourth Owner,4,350,Honda
Hero Access 125,159766,Ahmedabad,7200,First Owner,16,180,Hero
Hero Duke 200,97621,Ahmedabad,76286,Fourth Owner,2,110,Hero
KTM Shine 125cc,83200,Kolkata,20403,First Owner,11,100,KTM
Suzuki Duke 200,124299,Chennai,35097,First Owner,14,150,Suzuki
Royal Enfield Apache RTR 160,211505,Delhi,51863,Fourth Owner,2,220,Royal Enfield
TVS Shine 125cc,144226,Ahmedabad,17935,Second Owner,17,160,TVS
Royal Enfield Other Model,132894,Pune,34072,First Owner,15,150,Royal Enfield
KTM Duke 200,143746,Jaipur,41401,Fourth Owner,10,160,KTM
Honda Shine 125cc,330929,Jaipur,50088,Second Owner,6,350,Honda
Suzuki Access 125,159671,Bangalore,1403,First Owner,18,180,Suzuki
Bajaj Duke 200,141798,Pune,45897,First Owner,9,160,Bajaj
Suzuki Splendor Plus,128921,Jaipur,93151,Second Owner,16,160,Suzuki
Honda Pulsar 150cc,190975,Ahmedabad,18490,First Owner,9,200,Honda
Bajaj Classic 350,157233,Mumbai,37271,Second Owner,18,180,Bajaj
Honda Shine 125cc,158900,Kolkata,93708,Fourth Owner,19,200,Honda
Hero Splendor Plus,141744,Chennai,22177,Second Owner,5,150,Hero
Royal Enfield Pulsar 150cc,195361,Lucknow,92943,Fourth Owner,3,220,Royal Enfield
Hero Duke 200,481839,Kolkata,55484,Third Owner,9,500,Hero
Yamaha Shine 125cc,205058,Mumbai,41516,Third Owner,5,220,Yamaha
Suzuki Other Model,100541,Kolkata,54572,First Owner,16,125,Suzuki
TVS Splendor Plus,100616,Hyderabad,54052,Third Owner,1,110,TVS
Honda Access 125,127351,Pune,79860,Second Owner,14,160,Honda
Suzuki FZ S,106581,Jaipur,7263,Third Owner,4,110,Suzuki
Hero Classic 350,167417,Chennai,53126,Third Owner,3,180,Hero
Suzuki Other Model,131309,Chennai,36524,Fourth Owner,17,160,Suzuki
Yamaha Duke 200,79430,Delhi,21302,Third Owner,15,100,Yamaha
Royal Enfield Apache RTR 160,83771,Bangalore,1476,Second Owner,14,100,Royal Enfield
KTM Apache RTR 160,92186,Pune,94173,Fourth Owner,3,110,KTM
Yamaha Apache RTR 160,336409,Bangalore,41283,Fourth Owner,3,350,Yamaha
Bajaj Other Model,340936,Mumbai,12005,Second Owner,8,350,Bajaj
Yamaha Pulsar 150cc,195923,Lucknow,10391,Second Owner,3,200,Yamaha
Suzuki FZ S,123651,Lucknow,41305,Third Owner,17,150,Suzuki
Yamaha Other Model,135598,Chennai,46029,Second Owner,8,150,Yamaha
Hero Access 125,154745,Ahmedabad,74800,Third Owner,8,180,Hero
Honda FZ S,172128,Hyderabad,36290,First Owner,4,180,Honda
Yamaha FZ S,78197,Jaipur,86839,Second Owner,1,100,Yamaha
Bajaj Shine 125cc,87657,Pune,73007,Fourth Owner,9,110,Bajaj
Honda Shine 125cc,634215,Bangalore,43433,First Owner,10,650,Honda
Other FZ S,620457,Chennai,56819,Fourth Owner,17,650,Other
Royal Enfield Pulsar 150cc,110994,Lucknow,6821,Second Owner,9,125,Royal Enfield
Yamaha Access 125,120875,Jaipur,52172,Second Owner,19,150,Yamaha
Honda Classic 350,116449,Chennai,96245,First Owner,14,150,Honda
Royal Enfield Classic 350,181374,Lucknow,76357,Fourth Owner,19,220,Royal Enfield
Royal Enfield Splendor Plus,116685,Lucknow,89792,First Owner,19,150,Royal Enfield
KTM Pulsar 150cc,135169,Mumbai,16480,Second Owner,8,150,KTM
KTM FZ S,188787,Mumbai,84208,Fourth Owner,19,220,KTM
Suzuki Access 125,148743,Jaipur,96188,Second Owner,15,180,Suzuki
Other Shine 125cc,70354,Jaipur,98946,First Owner,11,100,Other
Other Pulsar 150cc,336090,Lucknow,56604,Third Owner,1,350,Other
Bajaj Other Model,330345,Jaipur,43431,First Owner,15,350,Bajaj
KTM Pulsar 150cc,201759,Ahmedabad,28778,Fourth Owner,17,220,KTM
Yamaha FZ S,133085,Mumbai,84437,Fourth Owner,5,150,Yamaha
KTM Other Model,487259,Kolkata,27584,Second Owner,5,500,KTM
Other Classic 350,155725,Delhi,83865,Fourth Owner,10,180,Other
Royal Enfield Pulsar 150cc,192839,Jaipur,80602,Third Owner,8,220,Royal Enfield
Hero Access 125,76845,Lucknow,11263,Second Owner,16,100,Hero
Hero Pulsar 150cc,328737,Pune,60168,Third Owner,13,350,Hero
TVS Other Model,122724,Delhi,81671,Third Owner,9,150,TVS
Other Classic 350,338544,Bangalore,23503,Third Owner,4,350,Other
Yamaha Classic 350,633381,Chennai,53921,Second Owner,8,650,Yamaha
Yamaha Duke 200,194524,Chennai,27667,Third Owner,1,200,Yamaha
KTM Duke 200,142766,Ahmedabad,37354,First Owner,11,160,KTM
Hero Other Model,320388,Chennai,66382,Second Owner,13,350,Hero
Hero Other Model,95040,Chennai,49680,Fourth Owner,6,110,Hero
Yamaha Shine 125cc,103978,Mumbai,7064,Third Owner,4,110,Yamaha
Royal Enfield Shine 125cc,196168,Jaipur,52383,Fourth Owner,16,220,Royal Enfield
